problem_idx,numbers,target,solution_count,difficulty_band,target_s,seed,answer,answer_emitted,timed_out,elapsed_s,total_output_tokens,n_assistant_turns,correct,run_file
315,86-1-93-6,42,39,common,30.0,0,(93 - 86) * 6 * 1,True,False,14.819,423,2,True,p315_T30_s0.json
315,86-1-93-6,42,39,common,60.0,0,(6 * (93 - 86,True,False,17.934,512,2,,p315_T60_s0.json
256,81-80-6-79,83,3,rare,30.0,0,,False,True,35.89,1024,4,,p256_T30_s0.json
256,81-80-6-79,83,3,rare,60.0,0,80 + (6 ÷ (81 - 79)),True,False,14.4,411,2,,p256_T60_s0.json
131,10-7-78-4,37,4,med,30.0,0,,False,True,35.89,1024,4,,p131_T30_s0.json
131,10-7-78-4,37,4,med,60.0,0,,False,True,62.966,1792,7,,p131_T60_s0.json
58,43-84-38-47,67,2,rare,30.0,0,,False,True,35.89,1024,4,,p58_T30_s0.json
58,43-84-38-47,67,2,rare,60.0,0,,False,True,62.967,1792,7,,p58_T60_s0.json
247,9-39-10-56,59,3,rare,30.0,0,,False,True,35.89,1024,4,,p247_T30_s0.json
247,9-39-10-56,59,3,rare,60.0,0,56 + ((39 - 9) / 10),True,False,44.542,1270,5,True,p247_T60_s0.json
304,75-9-81-39,77,3,rare,30.0,0,,False,True,35.89,1024,4,,p304_T30_s0.json
304,75-9-81-39,77,3,rare,60.0,0,,False,True,62.967,1792,7,,p304_T60_s0.json
64,41-96-93-22,21,4,med,30.0,0,(41 + 22) ÷ (96 - 93) = 21,True,False,14.505,414,2,,p64_T30_s0.json
64,41-96-93-22,21,4,med,60.0,0,(41 + 22) ÷ (96 - 93) = 21,True,False,13.84,395,2,,p64_T60_s0.json
262,30-8-58-10,63,14,common,30.0,0,58 + 8 - (30 / 10),True,False,32.518,928,4,True,p262_T30_s0.json
262,30-8-58-10,63,14,common,60.0,0,(58 + 8) - (30 / 10),True,False,9.678,276,2,True,p262_T60_s0.json
69,59-14-60-77,14,12,med,30.0,0,,False,True,35.89,1024,4,,p69_T30_s0.json
69,59-14-60-77,14,12,med,60.0,0,,False,True,62.967,1792,7,,p69_T60_s0.json
382,48-22-78-40,98,2,rare,30.0,0,,False,True,35.89,1024,4,,p382_T30_s0.json
382,48-22-78-40,98,2,rare,60.0,0,,False,True,62.967,1792,7,,p382_T60_s0.json
